"SiteID","q0_richness","q1_shannon","q2_simpson","total_abundance","StationID","BenSampID","Year","Season"
"2-JKS023.61_JKS10471",11,6.00116547632774,4.88765805080004,209,"2-JKS023.61","JKS10471",2017,"Fall"
"2-JKS023.61_JKS10471R110",10,5.98794174034574,4.8015873015873,110,"2-JKS023.61","JKS10471R110",2017,"Fall"
"2-JKS023.61_JKS10700",17,8.20331762178036,5.48138957816377,188,"2-JKS023.61","JKS10700",2017,"Fall"
"2-JKS023.61_JKS10700R110",15,8.12816565609717,5.44554455445544,110,"2-JKS023.61","JKS10700R110",2017,"Fall"
"2-JKS023.61_JKS1154",16,5.90249736797278,3.8887019432994,215,"2-JKS023.61","JKS1154",2010,"Spring"
"2-JKS023.61_JKS1154R110",9,4.74210133042173,3.36859688195991,110,"2-JKS023.61","JKS1154R110",2010,"Spring"
"2-JKS023.61_JKS1352",17,4.93459215458263,2.89988322304399,193,"2-JKS023.61","JKS1352",2010,"Fall"
"2-JKS023.61_JKS1352R110",13,4.5989768995524,2.87001897533207,110,"2-JKS023.61","JKS1352R110",2010,"Fall"
"2-JKS023.61_JKS1354",21,8.71982056909241,6.0233206590621,218,"2-JKS023.61","JKS1354",2010,"Fall"
"2-JKS023.61_JKS1354R110",16,8.03502296215643,5.767397521449,110,"2-JKS023.61","JKS1354R110",2010,"Fall"
"2-JKS023.61_JKS2219",17,7.21182030172601,5.17956462868451,223,"2-JKS023.61","JKS2219",2011,"Fall"
"2-JKS023.61_JKS2219R110",14,7.16535933871595,5.33039647577092,110,"2-JKS023.61","JKS2219R110",2011,"Fall"
"2-JKS023.61_JKS2779",25,12.4985454849873,7.18990590248075,205,"2-JKS023.61","JKS2779",2011,"Fall"
"2-JKS023.61_JKS2779R110",20,11.1209173927855,6.97004608294931,110,"2-JKS023.61","JKS2779R110",2011,"Fall"
"2-JKS023.61_JKS4150",16,7.36424619040817,5.21554275035041,183,"2-JKS023.61","JKS4150",2012,"Fall"
"2-JKS023.61_JKS4150R110",13,7.16647744591781,5.42600896860987,110,"2-JKS023.61","JKS4150R110",2012,"Fall"
"2-JKS023.61_JKS4690",14,6.12256082031111,4.04876801962989,199,"2-JKS023.61","JKS4690",2013,"Fall"
"2-JKS023.61_JKS4690R110",13,6.34130661186239,4.25457102672293,110,"2-JKS023.61","JKS4690R110",2013,"Fall"
"2-JKS023.61_JKS4993",16,5.8214412353252,4.1105352112676,191,"2-JKS023.61","JKS4993",2013,"Fall"
"2-JKS023.61_JKS4993R110",14,5.95909420231293,4.15236787920384,110,"2-JKS023.61","JKS4993R110",2013,"Fall"
"2-JKS023.61_JKS6211",20,8.30951612586108,4.93381638903414,257,"2-JKS023.61","JKS6211",2014,"Fall"
"2-JKS023.61_JKS6211R110",14,6.0248697923632,3.74613003095975,110,"2-JKS023.61","JKS6211R110",2014,"Fall"
"2-JKS023.61_JKS6705",30,18.8010908940191,14.0142743854084,188,"2-JKS023.61","JKS6705",2014,"Fall"
"2-JKS023.61_JKS6705R110",26,16.6748482825035,12.0039682539683,110,"2-JKS023.61","JKS6705R110",2014,"Fall"
"2-JKS023.61_JKS7821",11,3.99054517005835,2.85866938048594,212,"2-JKS023.61","JKS7821",2015,"Fall"
"2-JKS023.61_JKS7821R110",7,3.27251257242309,2.45436105476673,110,"2-JKS023.61","JKS7821R110",2015,"Fall"
"2-JKS023.61_JKS8498",25,10.0235141110206,7.035683942226,182,"2-JKS023.61","JKS8498",2015,"Fall"
"2-JKS023.61_JKS8498R110",17,9.26085342725003,6.8671963677639,110,"2-JKS023.61","JKS8498R110",2015,"Fall"
"2-JKS023.61_JKS9493",15,5.5855176036312,3.69715978393448,206,"2-JKS023.61","JKS9493",2016,"Fall"
"2-JKS023.61_JKS9493R110",11,5.47116239621139,3.9311241065627,110,"2-JKS023.61","JKS9493R110",2016,"Fall"
"CRO1Fall_CRO1Fall",30,14.6045793917618,9.77552919283554,205,"CRO1Fall","CRO1Fall",2022,"Fall"
"CRO1Spring_CRO1Spring",38,20.3820224633245,13.695652173913,210,"CRO1Spring","CRO1Spring",2022,"Spring"
"CRO2Fall_CRO2Fall",32,18.4188876640715,12.8869172932331,207,"CRO2Fall","CRO2Fall",2022,"Fall"
"CRO2Spring_CRO2Spring",39,20.6685089363106,10.8771562990068,204,"CRO2Spring","CRO2Spring",2022,"Spring"
"CRO3Fall_CRO3Fall",37,22.0357147896452,15.2318736539842,206,"CRO3Fall","CRO3Fall",2022,"Fall"
"CRO3Spring_CRO3Spring",36,20.5388829319899,12.3639947437582,194,"CRO3Spring","CRO3Spring",2022,"Spring"
"CRO4Fall_CRO4Fall",34,20.5158572036167,14.8486171761281,202,"CRO4Fall","CRO4Fall",2022,"Fall"
"CRO4Spring_CRO4Spring",39,25.6899010124292,19.2315334773218,211,"CRO4Spring","CRO4Spring",2022,"Spring"
"CRO5Fall_CRO5Fall",33,15.9252528873813,9.14382896015549,194,"CRO5Fall","CRO5Fall",2022,"Fall"
"CRO5Spring_CRO5Spring",42,21.7038759078999,11.8458354888774,214,"CRO5Spring","CRO5Spring",2022,"Spring"
"CRO6Fall_CRO6Fall",35,18.828257100728,11.8798114689709,213,"CRO6Fall","CRO6Fall",2022,"Fall"
"CRO6Spring_CRO6Spring",37,17.3300353584057,9.92428513894483,222,"CRO6Spring","CRO6Spring",2022,"Spring"
"CRO7Fall_CRO7Fall",32,18.1250111682762,12.0621513944223,174,"CRO7Fall","CRO7Fall",2022,"Fall"
"CRO7Spring_CRO7Spring",33,19.9070448325522,14.7382256297919,232,"CRO7Spring","CRO7Spring",2022,"Spring"
"EAS1Fall_EAS1Fall",32,17.6876812222794,11.930614729154,198,"EAS1Fall","EAS1Fall",2022,"Fall"
"EAS1Spring_EAS1Spring",27,13.5453209767647,9.38086303939962,200,"EAS1Spring","EAS1Spring",2022,"Spring"
"EAS2Fall_EAS2Fall",30,15.3791322795211,9.67562380038388,213,"EAS2Fall","EAS2Fall",2022,"Fall"
"EAS2Spring_EAS2Spring",31,17.2991075149193,10.9758883248731,186,"EAS2Spring","EAS2Spring",2022,"Spring"
"EAS3Fall_EAS3Fall",25,15.0500163223669,9.74125500667557,191,"EAS3Fall","EAS3Fall",2022,"Fall"
"EAS3Spring_EAS3Spring",28,16.9448328093888,11.9486436660521,213,"EAS3Spring","EAS3Spring",2022,"Spring"
"EAS4Fall_EAS4Fall",27,14.7982812010223,9.21734543152564,209,"EAS4Fall","EAS4Fall",2022,"Fall"
"EAS4Spring_EAS4Spring",32,19.5831280894895,13.8651510432887,211,"EAS4Spring","EAS4Spring",2022,"Spring"
"EAS5Fall_EAS5Fall",28,14.8464139384201,8.68373493975904,186,"EAS5Fall","EAS5Fall",2022,"Fall"
"EAS5Spring_EAS5Spring",27,16.4496967525674,11.8859863945578,209,"EAS5Spring","EAS5Spring",2022,"Spring"
"EAS6Fall_EAS6Fall",27,16.388288639896,10.3930753564155,189,"EAS6Fall","EAS6Fall",2022,"Fall"
"EAS6Spring_EAS6Spring",33,19.4810048492749,13.5689825485677,203,"EAS6Spring","EAS6Spring",2022,"Spring"
"EAS7Fall_EAS7Fall",29,16.8819929570518,10.2133691435392,185,"EAS7Fall","EAS7Fall",2022,"Fall"
"EAS7Spring_EAS7Spring",32,20.2699939034999,15.5962509012257,208,"EAS7Spring","EAS7Spring",2022,"Spring"
"EAS8Fall_EAS8Fall",28,18.0785615899388,11.9100751879699,199,"EAS8Fall","EAS8Fall",2022,"Fall"
"EAS8Spring_EAS8Spring",30,18.6302049664194,13.5165607226497,201,"EAS8Spring","EAS8Spring",2022,"Spring"
"EAS9Spring_EAS9Spring",27,11.6703964872802,7.86989409984872,204,"EAS9Spring","EAS9Spring",2022,"Spring"
"FRY1Fall_FRY1Fall",24,12.2719589547041,7.74817961165049,226,"FRY1Fall","FRY1Fall",2022,"Fall"
"FRY1Spring_FRY1Spring",25,10.2482345023194,5.74673507462687,222,"FRY1Spring","FRY1Spring",2022,"Spring"
"FRY2Fall_FRY2Fall",30,11.8029486300008,5.31802027115967,201,"FRY2Fall","FRY2Fall",2022,"Fall"
"FRY2Spring_FRY2Spring",27,12.1265587372732,7.44055433989789,202,"FRY2Spring","FRY2Spring",2022,"Spring"
"FRY3Fall_FRY3Fall",22,9.93461801698282,5.63497401406298,192,"FRY3Fall","FRY3Fall",2022,"Fall"
"FRY3Spring_FRY3Spring",26,10.9839798596127,6.49325655402334,207,"FRY3Spring","FRY3Spring",2022,"Spring"
"FRY4Fall_FRY4Fall",29,11.8404077581435,5.81004234724743,196,"FRY4Fall","FRY4Fall",2022,"Fall"
"FRY4Spring_FRY4Spring",21,8.61926957513619,5.60116569525395,217,"FRY4Spring","FRY4Spring",2022,"Spring"
"FRY5Fall_FRY5Fall",30,10.0360558434043,5.12209064924459,224,"FRY5Fall","FRY5Fall",2022,"Fall"
"FRY5Spring_FRY5Spring",23,8.89906072675146,5.76853605243991,199,"FRY5Spring","FRY5Spring",2022,"Spring"
"FRY6Fall_FRY6Fall",23,11.6678753991196,6.91085003455425,200,"FRY6Fall","FRY6Fall",2022,"Fall"
"FRY6Spring_FRY6Spring",24,11.1772598211499,7.53770491803279,209,"FRY6Spring","FRY6Spring",2022,"Spring"
"FRY7Fall_FRY7Fall",27,8.9566436042479,4.29642569201827,219,"FRY7Fall","FRY7Fall",2022,"Fall"
"FRY7Spring_FRY7Spring",24,9.09678321508218,5.184,216,"FRY7Spring","FRY7Spring",2022,"Spring"
"FRY8Spring_FRY8Spring",24,14.2294842357968,10.4134749790327,193,"FRY8Spring","FRY8Spring",2022,"Spring"
"FRY9Spring_FRY9Spring",30,16.4801524256746,10.3358414848257,203,"FRY9Spring","FRY9Spring",2022,"Spring"
"LLW1Fall_LLW1Fall",24,14.9747902233745,10.9521126760563,216,"LLW1Fall","LLW1Fall",2022,"Fall"
"LLW1Spring_LLW1Spring",24,11.5656334489715,7.63315217391304,212,"LLW1Spring","LLW1Spring",2022,"Spring"
"LLW2Fall_LLW2Fall",28,13.6283274014661,8.48938852700147,201,"LLW2Fall","LLW2Fall",2022,"Fall"
"LLW2Spring_LLW2Spring",26,10.3866692776072,5.9864722046079,238,"LLW2Spring","LLW2Spring",2022,"Spring"
"LLW3Fall_LLW3Fall",27,10.9625754588255,5.61616639092413,218,"LLW3Fall","LLW3Fall",2022,"Fall"
"LLW3Spring_LLW3Spring",18,5.89154992281022,3.88735314443676,225,"LLW3Spring","LLW3Spring",2022,"Spring"
"LLW4Fall_LLW4Fall",22,11.3801714895585,8.21939092604102,230,"LLW4Fall","LLW4Fall",2022,"Fall"
"LLW4Spring_LLW4Spring",17,6.79733112167963,4.70920649870497,200,"LLW4Spring","LLW4Spring",2022,"Spring"
"LLW5Fall_LLW5Fall",17,7.0855318130464,4.32245515452777,200,"LLW5Fall","LLW5Fall",2022,"Fall"
"LLW5Spring_LLW5Spring",18,6.29873442164225,3.99846272098386,204,"LLW5Spring","LLW5Spring",2022,"Spring"
"LLW6Fall_LLW6Fall",20,5.74291667092819,3.618231118909,213,"LLW6Fall","LLW6Fall",2022,"Fall"
"LLW6Spring_LLW6Spring",15,4.15658162670907,2.77302293735022,180,"LLW6Spring","LLW6Spring",2022,"Spring"
"ROL1Fall_ROL1Fall",20,7.32765808466988,4.00040816326531,198,"ROL1Fall","ROL1Fall",2022,"Fall"
"ROL1Spring_ROL1Spring",22,7.59070660489589,4.35634937922021,200,"ROL1Spring","ROL1Spring",2022,"Spring"
"ROL2Fall_ROL2Fall",20,9.67789376262766,5.90842689030164,209,"ROL2Fall","ROL2Fall",2022,"Fall"
"ROL2Spring_ROL2Spring",24,6.36164160274698,3.48431001890359,192,"ROL2Spring","ROL2Spring",2022,"Spring"
"ROL3Fall_ROL3Fall",27,14.352989526183,9.38348196975572,220,"ROL3Fall","ROL3Fall",2022,"Fall"
"ROL3Spring_ROL3Spring",20,6.89738633204486,4.09504550050556,180,"ROL3Spring","ROL3Spring",2022,"Spring"
"ROL4Fall_ROL4Fall",25,10.9751265630317,6.77003377341111,210,"ROL4Fall","ROL4Fall",2022,"Fall"
"ROL4Spring_ROL4Spring",19,7.80227976768711,5.62571001494768,194,"ROL4Spring","ROL4Spring",2022,"Spring"
"ROL5Fall_ROL5Fall",22,9.25732903383894,5.51858108108108,198,"ROL5Fall","ROL5Fall",2022,"Fall"
"ROL5Spring_ROL5Spring",12,5.09912597830833,3.71264826073956,193,"ROL5Spring","ROL5Spring",2022,"Spring"
"ROL6Fall_ROL6Fall",19,8.98819737090901,5.95506329113924,194,"ROL6Fall","ROL6Fall",2022,"Fall"
"ROL6Spring_ROL6Spring",13,4.28301940941081,3.08653613729756,226,"ROL6Spring","ROL6Spring",2022,"Spring"
"ROL7Spring_ROL7Spring",10,3.92733682423148,3.03591879229568,216,"ROL7Spring","ROL7Spring",2022,"Spring"
"SPC1Fall_SPC1Fall",26,12.5695736898373,8.09262468707876,205,"SPC1Fall","SPC1Fall",2022,"Fall"
"SPC1Spring_SPC1Spring",22,9.92549449971259,6.59697861989502,227,"SPC1Spring","SPC1Spring",2022,"Spring"
"SPC2Fall_SPC2Fall",31,18.9634984028046,12.6646421969897,219,"SPC2Fall","SPC2Fall",2022,"Fall"
"SPC2Spring_SPC2Spring",21,8.62297905669363,5.90283400809717,216,"SPC2Spring","SPC2Spring",2022,"Spring"
"SPC3Fall_SPC3Fall",31,16.3701278560259,10.6416938110749,198,"SPC3Fall","SPC3Fall",2022,"Fall"
"SPC3Spring_SPC3Spring",24,10.8409454433902,7.01112877583466,210,"SPC3Spring","SPC3Spring",2022,"Spring"
"SPC4Fall_SPC4Fall",32,14.8416491193565,8.34682080924856,228,"SPC4Fall","SPC4Fall",2022,"Fall"
"SPC4Spring_SPC4Spring",25,13.6533779406189,9.66113686264943,199,"SPC4Spring","SPC4Spring",2022,"Spring"
"SPC5Fall_SPC5Fall",32,19.6172321104833,14.8832928100035,207,"SPC5Fall","SPC5Fall",2022,"Fall"
"SPC5Spring_SPC5Spring",29,14.6816611255589,9.41502988898378,210,"SPC5Spring","SPC5Spring",2022,"Spring"
"SPC6Spring_SPC6Spring",31,15.3652323692628,9.47860336384927,211,"SPC6Spring","SPC6Spring",2022,"Spring"
"SPC7Fall_SPC7Fall",32,17.4340804137225,11.2396362663814,205,"SPC7Fall","SPC7Fall",2022,"Fall"
"SPC7Spring_SPC7Spring",39,21.4542366503606,12.738485316847,203,"SPC7Spring","SPC7Spring",2022,"Spring"
"SPC8Fall_SPC8Fall",34,16.9256845588044,9.84320749517773,189,"SPC8Fall","SPC8Fall",2022,"Fall"
"SPC8Spring_SPC8Spring",30,13.624661598083,8.5066430469442,196,"SPC8Spring","SPC8Spring",2022,"Spring"
